optimizer,epoch,train_loss,test_acc,time_s,lr
adamw,1,1.4540,55.56,47.9,0.002
adamw,2,0.9875,65.96,95.6,0.002
adamw,3,0.7694,71.83,143.2,0.002
adamw,4,0.6371,78.02,190.9,0.002
adamw,5,0.5528,81.44,238.6,0.002
adamw,6,0.4785,81.11,286.1,0.002
adamw,7,0.4314,82.88,333.5,0.002
adamw,8,0.3906,84.37,381.3,0.002
adamw,9,0.3546,85.99,428.7,0.002
adamw,10,0.3202,86.62,476.3,0.002
adamw,11,0.2934,86.63,524.1,0.002
adamw,12,0.2739,86.36,571.7,0.002
adamw,13,0.2492,86.81,619.4,0.002
adamw,14,0.2333,85.80,667.0,0.002
adamw,15,0.2119,89.82,714.5,0.002
adamw,16,0.1957,88.38,762.1,0.002
adamw,17,0.1836,89.25,809.5,0.002
adamw,18,0.1688,90.62,857.1,0.002
adamw,19,0.1580,90.36,904.4,0.002
adamw,20,0.1469,91.24,952.1,0.002
muon,1,1.0353,73.61,71.7,0.04
muon,2,0.5474,82.01,143.7,0.04
muon,3,0.4128,84.28,215.7,0.04
muon,4,0.3400,86.93,287.7,0.04
muon,5,0.2865,88.25,359.5,0.04
muon,6,0.2458,89.68,431.4,0.04
muon,7,0.2141,89.42,503.2,0.04
muon,8,0.1901,90.41,575.2,0.04
muon,9,0.1711,89.97,647.1,0.04
muon,10,0.1468,91.28,719.0,0.04
muon,11,0.1356,91.30,790.9,0.04
muon,12,0.1216,91.48,862.9,0.04
muon,13,0.1105,91.41,934.6,0.04
muon,14,0.1023,91.51,1006.5,0.04
muon,15,0.1002,91.84,1078.2,0.04
muon,16,0.0883,91.34,1150.1,0.04
muon,17,0.0845,92.10,1221.8,0.04
muon,18,0.0783,91.91,1293.6,0.04
muon,19,0.0741,91.79,1365.3,0.04
muon,20,0.0675,92.23,1436.9,0.04
muonsam,1,1.0321,74.67,71.9,0.04
muonsam,2,0.5484,82.06,143.7,0.04
muonsam,3,0.4154,84.30,215.6,0.04
muonsam,4,0.3416,86.70,287.5,0.04
muonsam,5,0.2917,88.77,359.3,0.04
muonsam,6,0.2427,89.15,431.0,0.04
muonsam,7,0.2365,89.76,539.3,0.04
muonsam,8,0.2371,90.67,647.7,0.04
muonsam,9,0.2193,91.18,756.2,0.04
muonsam,10,0.1898,90.46,864.8,0.04
muonsam,11,0.1744,91.60,973.3,0.04
muonsam,12,0.1634,91.51,1081.8,0.04
muonsam,13,0.1447,91.78,1190.3,0.04
muonsam,14,0.1384,91.86,1298.6,0.04
muonsam,15,0.1294,92.48,1407.3,0.04
muonsam,16,0.1180,91.38,1515.5,0.04
muonsam,17,0.1078,92.24,1623.9,0.04
muonsam,18,0.0993,92.84,1732.3,0.04
muonsam,19,0.0968,92.33,1840.6,0.04
muonsam,20,0.0884,93.36,1949.1,0.04
adamw,1,1.3355,63.80,42.2,0.0005
adamw,2,0.8695,73.15,85.2,0.0005
adamw,3,0.6793,71.60,133.0,0.0005
adamw,4,0.5822,76.34,180.1,0.0005
adamw,5,0.5131,80.87,228.5,0.0005
adamw,6,0.4520,82.21,275.8,0.0005
adamw,7,0.4106,82.45,323.5,0.0005
adamw,8,0.3755,84.43,371.0,0.0005
adamw,9,0.3463,85.69,418.9,0.0005
adamw,10,0.3143,85.30,466.4,0.0005
adamw,11,0.2855,86.27,514.2,0.0005
adamw,12,0.2695,86.96,561.8,0.0005
adamw,13,0.2532,85.21,609.7,0.0005
adamw,14,0.2379,85.13,657.6,0.0005
adamw,15,0.2186,88.13,705.1,0.0005
adamw,16,0.2044,89.12,752.9,0.0005
adamw,17,0.1914,88.72,800.7,0.0005
adamw,18,0.1783,89.56,848.6,0.0005
adamw,19,0.1664,88.67,896.3,0.0005
adamw,20,0.1582,89.30,944.2,0.0005
muon,1,1.1116,75.07,71.8,0.01
muon,2,0.5725,81.25,143.6,0.01
muon,3,0.4342,83.91,215.5,0.01
muon,4,0.3544,86.11,287.2,0.01
muon,5,0.2975,88.67,359.1,0.01
muon,6,0.2532,88.99,431.0,0.01
muon,7,0.2210,90.01,502.8,0.01
muon,8,0.1957,89.39,574.7,0.01
muon,9,0.1722,90.21,646.4,0.01
muon,10,0.1515,90.65,718.3,0.01
muon,11,0.1360,91.77,790.0,0.01
muon,12,0.1258,90.50,861.9,0.01
muon,13,0.1109,91.42,933.8,0.01
